headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
Procter & Gamble's Stock Is Still Pointed Down Despite Technical Divergences,04/02/2018,https://web.archive.org/web/20180402225506/https://www.thestreet.com/quote/PG.html,['PG'],,The Street,https://web.archive.org/web/20180402225506/https://www.thestreet.com/quote/PG.html,Procter,2.8
Dividend watch at Procter & Gamble,04/02/2018,https://web.archive.org/web/20180402225506/https://www.thestreet.com/quote/PG.html,['PG'],,The Street,https://web.archive.org/web/20180402225506/https://www.thestreet.com/quote/PG.html,Procter,2.8
"Procter & Gamble's stock drops after analyst cuts rating, price target",04/02/2017,http:///web/20170402220509/http://www.marketwatch.com/story/procter-gambles-stock-drops-after-analyst-cuts-rating-price-target-2017-03-06,['PG'],,MarketWatch,https://web.archive.org/web/20170402220509/http://www.marketwatch.com:80/investing/stock/pg?,Procter,2.8
"Personal Products Stocks Under Review -- Procter & Gamble, Coty, Avon, and Colgate-Palmolive",04/02/2017,http:///web/20170402220509/http://www.marketwatch.com/story/personal-products-stocks-under-review----procter-gamble-coty-avon-and-colgate-palmolive-2017-03-22,['PG'],,MarketWatch,https://web.archive.org/web/20170402220509/http://www.marketwatch.com:80/investing/stock/pg?,Procter,2.8
"Early movers: BBRY, HOT, TSLA, URBN, FB, PGR &more",04/02/2016,https://web.archive.org/web/20160402111922/http://www.cnbc.com:80/markets/,['PG'],,CNBC,https://web.archive.org/web/20160402111922/http://www.cnbc.com:80/markets/,PG,2.8
"Dow's nearly 200-point fall led by losses for American Express, Procter & Gamble stocks",04/01/2020,https://web.archive.org/web/20200401045444/https://www.marketwatch.com/markets,['PG'],,MarketWatch,https://web.archive.org/web/20200401045444/https://www.marketwatch.com/markets,Procter,2.8
"Dow's 125-point drop led by losses in shares of Procter & Gamble, Home Depot",04/01/2020,https://web.archive.org/web/20200401045444/https://www.marketwatch.com/markets,['PG'],,MarketWatch,https://web.archive.org/web/20200401045444/https://www.marketwatch.com/markets,Procter,2.8
Oracle Upgraded to Overweight as a `Relative Safe Haven' During Downturn,04/01/2020,https://web.archive.org/web/20200401223925/https://www.thestreet.com/technology,['PG'],,The Street,https://web.archive.org/web/20200401223925/https://www.thestreet.com/technology,PG,2.8
"Top Analyst Reports for Alphabet, Procter & Gamble & Philip Morris",04/01/2020,https://web.archive.org/web/20200401073305/https://www.zacks.com/earnings,['PG'],,Zacks,https://web.archive.org/web/20200401073305/https://www.zacks.com/earnings,Procter,2.8
Nelson Peltz’s Trian Fund Management Sells $120 Million in Procter & Gamble Stock,03/31/2019,https://web.archive.org/web/20190331045511/https://www.marketwatch.com/investing/stock/pg,['PG'],,MarketWatch,https://web.archive.org/web/20190331045511/https://www.marketwatch.com/investing/stock/pg,Procter,2.8
How Safe Is the Dividend of Procter & Gamble Stock?,03/31/2019,https://web.archive.org/web/20190331045511/https://www.marketwatch.com/investing/stock/pg,['PG'],,MarketWatch,https://web.archive.org/web/20190331045511/https://www.marketwatch.com/investing/stock/pg,Procter,2.8
Procter & Gamble $PG Technical Update,03/31/2019,https://web.archive.org/web/20190331045511/https://www.marketwatch.com/story/procter-gamble-pg-technical-update-2019-03-29?mod=mw_quote_news,['PG'],,MarketWatch,https://web.archive.org/web/20190331045511/https://www.marketwatch.com/investing/stock/pg,Procter,2.8
"Haircare Products Market Is Booming Worldwide | LOreal, Henkel, Procter & Gamble, Unilever",03/31/2019,https://web.archive.org/web/20190331045511/https://www.marketwatch.com/story/haircare-products-market-is-booming-worldwide-loreal-henkel-procter-gamble-unilever-2019-03-28?mod=mw_quote_news,['PG'],,MarketWatch,https://web.archive.org/web/20190331045511/https://www.marketwatch.com/investing/stock/pg,Procter,2.8
"Deutsche Bank looks to make a deal, Marriott to expand, PG&E may have new leader",03/18/2019,https://web.archive.org/web/20190318171321/https://finance.yahoo.com/news,['PG'],,Yahoo Finance,https://web.archive.org/web/20190318171321/https://finance.yahoo.com/news,PG,2.8
