headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
Has ExxonMobil’s Dividend Yield Risen?,04/01/2018,https://web.archive.org/web/20180401020308/https://finance.yahoo.com/quote/xom,['XOM'],,Yahoo Finance,https://web.archive.org/web/20180401020308/https://finance.yahoo.com/quote/xom,Exxon,2.8
ExxonMobil Stock Plunges: Where Will It Be by June 29?,04/01/2018,https://web.archive.org/web/20180401020308/https://finance.yahoo.com/quote/xom,['XOM'],,Yahoo Finance,https://web.archive.org/web/20180401020308/https://finance.yahoo.com/quote/xom,Exxon,2.8
"XOM is up 2.47% today,but where's it headed in April?",04/01/2018,https://web.archive.org/web/20180401075016/https://www.zacks.com/stock/quote/XOM,['XOM'],,Zacks,https://web.archive.org/web/20180401075016/https://www.zacks.com/stock/quote/XOM,XOM,2.8
"ExxonMobil Recommends Shareholders Reject the Below-Market 
      Mini-Tender Offer by TRC Capital Corporation",04/01/2017,http:///web/20170401094210/http://www.marketwatch.com/story/exxonmobil-recommends-shareholders-reject-the-below-market-mini-tender-offer-by-trc-capital-corporation-2017-03-24,['XOM'],,MarketWatch,https://web.archive.org/web/20170401094210/http://www.marketwatch.com/investing/stock/xom,Exxon,2.8
"Oil and Gas Stocks Under Review -- Exxon Mobil, Encana, Chevron, and BP PLC",04/01/2017,http:///web/20170401094210/http://www.marketwatch.com/story/oil-and-gas-stocks-under-review----exxon-mobil-encana-chevron-and-bp-plc-2017-03-09,['XOM'],,MarketWatch,https://web.archive.org/web/20170401094210/http://www.marketwatch.com/investing/stock/xom,Exxon,2.8
Exxon Mobil Corporation(XOM),04/01/2016,https://web.archive.org/web/20160401153521/http://seekingalpha.com/symbol/XOM,['XOM'],,Seeking Alpha,https://web.archive.org/web/20160401153521/http://seekingalpha.com/symbol/XOM,Exxon,2.8
Will XOM Be a Portfolio Killer In 2016?,04/01/2016,https://web.archive.org/web/20160401214639/http://www.zacks.com/stock/quote/xoM,['XOM'],,Zacks,https://web.archive.org/web/20160401214639/http://www.zacks.com/stock/quote/xoM,XOM,2.8
"XOM isdown-3.94%today,but where's it headed in 2020?",03/24/2020,https://web.archive.org/web/20200324114559/https://www.zacks.com/stock/quote/XOM,['XOM'],,Zacks,https://web.archive.org/web/20200324114559/https://www.zacks.com/stock/quote/XOM,XOM,2.8
Is Exxon Mobil Stock Really Worth the Risk?,03/24/2020,https://web.archive.org/web/20200324114559/https://www.zacks.com/stock/quote/XOM,['XOM'],,Zacks,https://web.archive.org/web/20200324114559/https://www.zacks.com/stock/quote/XOM,Exxon,2.8
Exxon (XOM) Announced Growth Plan - Slideshow,03/10/2018,https://web.archive.org/web/20180310052058/https://www.thestreet.com/quote/XOM.html,['XOM'],,The Street,https://web.archive.org/web/20180310052058/https://www.thestreet.com/quote/XOM.html,Exxon,2.8
"Exxon CEO teases future stock buyback program, report says",03/09/2019,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,Exxon,2.8
